task_id,project_id,feature,workflow_order,department,estimated_hours,priority,status
T0001,P001,Dashboard,1,R,4.5,High,Pending
T0002,P001,Dashboard,2,Graphes,5.3,High,Pending
T0003,P001,Dashboard,3,Quality_Control,3.7,Medium,Pending
T0004,P001,Orders,1,R,10.8,High,Pending
T0005,P001,Orders,2,Graphes,6.3,High,Pending
T0006,P001,Orders,3,Quality_Control,3.8,Medium,Pending
T0007,P001,Landing Page,1,R,9.1,High,Pending
T0008,P001,Landing Page,2,Graphes,6.8,High,Pending
T0009,P001,Landing Page,3,Quality_Control,2.5,Medium,Pending
T0010,P001,Payment,1,R,5.0,High,Pending
T0011,P001,Payment,2,Graphes,3.2,High,Pending
T0012,P001,Payment,3,Quality_Control,1.4,Medium,Pending
T0013,P001,Cart,1,R,10.3,High,Pending
T0014,P001,Cart,2,Graphes,2.2,High,Pending
T0015,P001,Cart,3,Quality_Control,2.7,Medium,Pending
T0016,P001,Admin Panel,1,R,7.0,High,Pending
T0017,P001,Admin Panel,2,Graphes,6.8,High,Pending
T0018,P001,Admin Panel,3,Quality_Control,2.7,Medium,Pending
T0019,P001,Products,1,R,8.9,High,Pending
T0020,P001,Products,2,Graphes,2.5,High,Pending
T0021,P001,Products,3,Quality_Control,1.9,Medium,Pending
T0022,P001,Profile,1,R,12.0,High,Pending
T0023,P001,Profile,2,Graphes,6.3,High,Pending
T0024,P001,Profile,3,Quality_Control,2.6,Medium,Pending
T0025,P002,Payment,1,R,9.4,High,Pending
T0026,P002,Payment,2,Graphes,4.1,High,Pending
T0027,P002,Payment,3,Quality_Control,3.6,Medium,Pending
T0028,P002,Landing Page,1,R,10.2,High,Pending
T0029,P002,Landing Page,2,Graphes,5.8,High,Pending
T0030,P002,Landing Page,3,Quality_Control,1.5,Medium,Pending
T0031,P002,Dashboard,1,R,11.7,High,Pending
T0032,P002,Dashboard,2,Graphes,4.6,High,Pending
T0033,P002,Dashboard,3,Quality_Control,3.7,Medium,Pending
T0034,P002,Orders,1,R,4.4,High,Pending
T0035,P002,Orders,2,Graphes,2.7,High,Pending
T0036,P002,Orders,3,Quality_Control,1.5,Medium,Pending
T0037,P002,Cart,1,R,5.3,High,Pending
T0038,P002,Cart,2,Graphes,3.9,High,Pending
T0039,P002,Cart,3,Quality_Control,3.1,Medium,Pending
T0040,P002,Login,1,R,6.8,High,Pending
T0041,P002,Login,2,Graphes,7.6,High,Pending
T0042,P002,Login,3,Quality_Control,3.7,Medium,Pending
T0043,P002,Profile,1,R,10.8,High,Pending
T0044,P002,Profile,2,Graphes,3.5,High,Pending
T0045,P002,Profile,3,Quality_Control,2.9,Medium,Pending
T0046,P002,Notifications,1,R,8.4,High,Pending
T0047,P002,Notifications,2,Graphes,2.8,High,Pending
T0048,P002,Notifications,3,Quality_Control,1.9,Medium,Pending
T0049,P003,Notifications,1,R,9.0,High,Pending
T0050,P003,Notifications,2,Graphes,7.4,High,Pending
T0051,P003,Notifications,3,Quality_Control,2.0,Medium,Pending
T0052,P003,Landing Page,1,R,11.4,High,Pending
T0053,P003,Landing Page,2,Graphes,2.2,High,Pending
T0054,P003,Landing Page,3,Quality_Control,3.6,Medium,Pending
T0055,P003,Dashboard,1,R,4.6,High,Pending
T0056,P003,Dashboard,2,Graphes,7.7,High,Pending
T0057,P003,Dashboard,3,Quality_Control,3.3,Medium,Pending
T0058,P003,Products,1,R,6.1,High,Pending
T0059,P003,Products,2,Graphes,3.3,High,Pending
T0060,P003,Products,3,Quality_Control,2.7,Medium,Pending
T0061,P003,Payment,1,R,8.9,High,Pending
T0062,P003,Payment,2,Graphes,2.2,High,Pending
T0063,P003,Payment,3,Quality_Control,3.7,Medium,Pending
T0064,P003,Admin Panel,1,R,8.4,High,Pending
T0065,P003,Admin Panel,2,Graphes,5.9,High,Pending
T0066,P003,Admin Panel,3,Quality_Control,1.9,Medium,Pending
T0067,P003,Cart,1,R,6.0,High,Pending
T0068,P003,Cart,2,Graphes,6.8,High,Pending
T0069,P003,Cart,3,Quality_Control,2.2,Medium,Pending
T0070,P003,Orders,1,R,7.6,High,Pending
T0071,P003,Orders,2,Graphes,6.1,High,Pending
T0072,P003,Orders,3,Quality_Control,1.5,Medium,Pending
T0073,P004,Payment,1,R,10.9,High,Pending
T0074,P004,Payment,2,Graphes,3.9,High,Pending
T0075,P004,Payment,3,Quality_Control,4.0,Medium,Pending
T0076,P004,Orders,1,R,6.8,High,Pending
T0077,P004,Orders,2,Graphes,4.4,High,Pending
T0078,P004,Orders,3,Quality_Control,3.3,Medium,Pending
T0079,P004,Notifications,1,R,8.1,High,Pending
T0080,P004,Notifications,2,Graphes,2.6,High,Pending
T0081,P004,Notifications,3,Quality_Control,1.7,Medium,Pending
T0082,P004,Landing Page,1,R,5.0,High,Pending
T0083,P004,Landing Page,2,Graphes,4.7,High,Pending
T0084,P004,Landing Page,3,Quality_Control,1.4,Medium,Pending
T0085,P004,Dashboard,1,R,4.4,High,Pending
T0086,P004,Dashboard,2,Graphes,7.7,High,Pending
T0087,P004,Dashboard,3,Quality_Control,3.6,Medium,Pending
T0088,P004,Products,1,R,7.3,High,Pending
T0089,P004,Products,2,Graphes,7.8,High,Pending
T0090,P004,Products,3,Quality_Control,3.7,Medium,Pending
T0091,P004,Admin Panel,1,R,10.5,High,Pending
T0092,P004,Admin Panel,2,Graphes,7.6,High,Pending
T0093,P004,Admin Panel,3,Quality_Control,3.2,Medium,Pending
T0094,P004,Profile,1,R,5.5,High,Pending
T0095,P004,Profile,2,Graphes,3.0,High,Pending
T0096,P004,Profile,3,Quality_Control,4.0,Medium,Pending
T0097,P005,Orders,1,R,7.7,High,Pending
T0098,P005,Orders,2,Graphes,3.4,High,Pending
T0099,P005,Orders,3,Quality_Control,2.8,Medium,Pending
T0100,P005,Admin Panel,1,R,4.4,High,Pending
T0101,P005,Admin Panel,2,Graphes,3.7,High,Pending
T0102,P005,Admin Panel,3,Quality_Control,2.8,Medium,Pending
T0103,P005,Products,1,R,10.7,High,Pending
T0104,P005,Products,2,Graphes,6.0,High,Pending
T0105,P005,Products,3,Quality_Control,1.9,Medium,Pending
T0106,P005,Profile,1,R,4.1,High,Pending
T0107,P005,Profile,2,Graphes,2.6,High,Pending
T0108,P005,Profile,3,Quality_Control,1.4,Medium,Pending
T0109,P005,Login,1,R,6.1,High,Pending
T0110,P005,Login,2,Graphes,4.2,High,Pending
T0111,P005,Login,3,Quality_Control,2.2,Medium,Pending
T0112,P005,Cart,1,R,4.4,High,Pending
T0113,P005,Cart,2,Graphes,2.3,High,Pending
T0114,P005,Cart,3,Quality_Control,2.7,Medium,Pending
T0115,P005,Payment,1,R,6.9,High,Pending
T0116,P005,Payment,2,Graphes,3.7,High,Pending
T0117,P005,Payment,3,Quality_Control,2.2,Medium,Pending
T0118,P005,Dashboard,1,R,7.6,High,Pending
T0119,P005,Dashboard,2,Graphes,5.3,High,Pending
T0120,P005,Dashboard,3,Quality_Control,3.5,Medium,Pending
T0121,P006,Admin Panel,1,R,11.5,High,Pending
T0122,P006,Admin Panel,2,Graphes,6.5,High,Pending
T0123,P006,Admin Panel,3,Quality_Control,1.6,Medium,Pending
T0124,P006,Landing Page,1,R,8.1,High,Pending
T0125,P006,Landing Page,2,Graphes,5.0,High,Pending
T0126,P006,Landing Page,3,Quality_Control,1.1,Medium,Pending
T0127,P006,Dashboard,1,R,5.1,High,Pending
T0128,P006,Dashboard,2,Graphes,4.0,High,Pending
T0129,P006,Dashboard,3,Quality_Control,2.4,Medium,Pending
T0130,P006,Login,1,R,7.7,High,Pending
T0131,P006,Login,2,Graphes,5.6,High,Pending
T0132,P006,Login,3,Quality_Control,2.5,Medium,Pending
T0133,P006,Profile,1,R,6.6,High,Pending
T0134,P006,Profile,2,Graphes,5.7,High,Pending
T0135,P006,Profile,3,Quality_Control,1.5,Medium,Pending
T0136,P006,Orders,1,R,11.9,High,Pending
T0137,P006,Orders,2,Graphes,6.4,High,Pending
T0138,P006,Orders,3,Quality_Control,1.9,Medium,Pending
T0139,P006,Products,1,R,6.7,High,Pending
T0140,P006,Products,2,Graphes,7.0,High,Pending
T0141,P006,Products,3,Quality_Control,2.6,Medium,Pending
T0142,P006,Cart,1,R,9.7,High,Pending
T0143,P006,Cart,2,Graphes,3.8,High,Pending
T0144,P006,Cart,3,Quality_Control,3.4,Medium,Pending
T0145,P007,Cart,1,R,7.8,High,Pending
T0146,P007,Cart,2,Graphes,7.8,High,Pending
