project_id,client,project_name,start_date,deadline,status
P001,Orange,Project_1,2026-07-01,2026-08-13,Pending
P002,Tunisie Telecom,Project_2,2026-07-04,2026-08-14,Pending
P003,Ooredoo,Project_3,2026-07-07,2026-08-13,Pending
P004,BH Bank,Project_4,2026-07-10,2026-08-24,Pending
P005,Amen Bank,Project_5,2026-07-13,2026-08-14,Pending
P006,Decathlon,Project_6,2026-07-16,2026-08-10,Pending
P007,Carrefour,Project_7,2026-07-19,2026-08-18,Pending
P008,Monoprix,Project_8,2026-07-22,2026-09-01,Pending
P009,UIB,Project_9,2026-07-25,2026-09-05,Pending
P010,Topnet,Project_10,2026-07-28,2026-08-30,Pending
P011,Glovo,Project_11,2026-07-31,2026-09-08,Pending
P012,Fabulous,Project_12,2026-08-03,2026-09-16,Pending
P013,Poste Tunisienne,Project_13,2026-08-06,2026-09-15,Pending
P014,Vermeg,Project_14,2026-08-09,2026-09-06,Pending
P015,SOPAL,Project_15,2026-08-12,2026-09-08,Pending
P016,Ministry of Health,Hospital Management System,2026-08-01,2026-10-01,Pending
P017,Ministry of Health,Hospital Management System,2026-08-24,2026-10-01,Pending
